"schemaName","tableViewName","columnName","type","nullable","collection","description","aggregate","measure","formula","referencedColumns","referencedFormulas"
"TILDA","ZoneInfo","id","STRING","false","false","The id for this enumeration.","","false","","",""
"TILDA","ZoneInfo","value","STRING","false","false","The value for this enumeration.","","false","","",""
"TILDA","ZoneInfo","label","STRING","false","false","The label for this enumeration.","","false","","",""
"TILDA","ZoneInfo","deactivatedTZ","STRING","true","false","Generated helper column to hold the time zone ID for 'deactivated'.","","false","","",""
"TILDA","ZoneInfo","deactivated","DATETIME","true","false","The datetime when this enumeration was deactivated.","","false","","",""
"TILDA","ZoneInfo","created","DATETIME","false","false","The timestamp for when the record was created. (TILDA.ZoneInfo)","","false","","",""
"TILDA","ZoneInfo","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDA.ZoneInfo)","","false","","",""
"TILDA","ZoneInfo","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDA.ZoneInfo)","","false","","",""
"TILDA","Key","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDA","Key","name","STRING","false","false","The name of the table/object tracked","","false","","",""
"TILDA","Key","max","LONG","false","false","The pre-allocated max RefNum for this table/object.","","false","","",""
"TILDA","Key","count","INTEGER","false","false","The size of the pre-allocation required by this table/object.","","false","","",""
"TILDA","Key","created","DATETIME","false","false","The timestamp for when the record was created.","","false","","",""
"TILDA","Key","createdETL","DATETIME","true","false","The timestamp for when the record was ETL-created.","","false","","",""
"TILDA","Key","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated.","","false","","",""
"TILDA","Key","lastUpdatedETL","DATETIME","true","false","The timestamp for when the record was last ETL-updated.","","false","","",""
"TILDA","Key","deleted","DATETIME","true","false","The timestamp for when the record was deleted.","","false","","",""
"TILDA","Catalog","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDA","Catalog","schemaName","STRING","false","false","The name of the schema this column is defined in.","","false","","",""
"TILDA","Catalog","tableViewName","STRING","false","false","The name of the primary table/view this column is defined in.","","false","","",""
"TILDA","Catalog","columnName","STRING","false","false","The name of the column.","","false","","",""
"TILDA","Catalog","type","STRING","false","false","The type of the column.","","false","","",""
