"schemaName","tableViewName","columnName","type","nullable","collection","description","aggregate","measure","formula","referencedColumns","referencedFormulas"
"TILDATUTORIAL","User","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDATUTORIAL","User","id","STRING","false","false","The user's id","","false","","",""
"TILDATUTORIAL","User","email","STRING","false","false","The user's email","","false","","",""
"TILDATUTORIAL","User","created","DATETIME","false","false","The timestamp for when the record was created. (TILDATUTORIAL.User)","","false","","",""
"TILDATUTORIAL","User","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDATUTORIAL.User)","","false","","",""
"TILDATUTORIAL","User","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDATUTORIAL.User)","","false","","",""
"TILDATUTORIAL","Form","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDATUTORIAL","Form","userRefnum","LONG","false","false","The user who created the form","","false","","",""
"TILDATUTORIAL","Form","type","STRING","false","false","Form template type","","false","","",""
"TILDATUTORIAL","Form","fillDateTZ","STRING","true","false","Generated helper column to hold the time zone ID for 'fillDate'.","","false","","",""
"TILDATUTORIAL","Form","fillDate","DATETIME","true","false","The date the form was filled","","false","","",""
"TILDATUTORIAL","Form","created","DATETIME","false","false","The timestamp for when the record was created. (TILDATUTORIAL.Form)","","false","","",""
"TILDATUTORIAL","Form","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDATUTORIAL.Form)","","false","","",""
"TILDATUTORIAL","Form","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDATUTORIAL.Form)","","false","","",""
"TILDATUTORIAL","FormAnswer","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDATUTORIAL","FormAnswer","formRefnum","LONG","false","false","The form's refnum","","false","","",""
"TILDATUTORIAL","FormAnswer","field","STRING","false","false","question/field id","","false","","",""
"TILDATUTORIAL","FormAnswer","value","STRING","true","false","answer value","","false","","",""
"TILDATUTORIAL","FormAnswer","created","DATETIME","false","false","The timestamp for when the record was created. (TILDATUTORIAL.FormAnswer)","","false","","",""
"TILDATUTORIAL","FormAnswer","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDATUTORIAL.FormAnswer)","","false","","",""
"TILDATUTORIAL","FormAnswer","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDATUTORIAL.FormAnswer)","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","type","STRING","false","false","Form template type","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","questionSeq","INTEGER","false","false","Sequence of the question for the test","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","questionId","STRING","false","false","Question id","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","questionLabel","STRING","false","false","Question label","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","answerSeq","INTEGER","false","false","Sequence of the answer for the question in the test","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","answerId","STRING","false","false","Answer id","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","answerLabel","STRING","false","false","Answer label","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","correct","SHORT","false","false","Whether the answer is a correct one or not for that question (technically, there could be more than one)","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","created","DATETIME","false","false","The timestamp for when the record was created. (TILDATUTORIAL.TestQuestionAnswer)","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDATUTORIAL.TestQuestionAnswer)","","false","","",""
"TILDATUTORIAL","TestQuestionAnswer","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDATUTORIAL.TestQuestionAnswer)","","false","","",""
"TILDATUTORIAL","TestAnswer","refnum","LONG","false","false","The primary key for this record","","false","","",""
"TILDATUTORIAL","TestAnswer","formRefnum","LONG","false","false","The form's refnum","","false","","",""
"TILDATUTORIAL","TestAnswer","questionId","STRING","false","false","Question id","","false","","",""
"TILDATUTORIAL","TestAnswer","answerId","STRING","true","false","Answer value","","false","","",""
"TILDATUTORIAL","TestAnswer","timeMillis","INTEGER","false","false","Time in milliseconds for the time spent answering the question","","false","","",""
"TILDATUTORIAL","TestAnswer","correct","SHORT","false","false","Whether the answer is correct or not","","false","","",""
"TILDATUTORIAL","TestAnswer","created","DATETIME","false","false","The timestamp for when the record was created. (TILDATUTORIAL.TestAnswer)","","false","","",""
"TILDATUTORIAL","TestAnswer","lastUpdated","DATETIME","false","false","The timestamp for when the record was last updated. (TILDATUTORIAL.TestAnswer)","","false","","",""
"TILDATUTORIAL","TestAnswer","deleted","DATETIME","true","false","The timestamp for when the record was deleted. (TILDATUTORIAL.TestAnswer)","","false","","",""
"TILDATUTORIAL","Form_SAT01_PivotView","formRefnum","LONG","false","false","The primary key for this record","","false","","",""
